contents	keywords
Things you buy through our links may earn Vox Media a commission. This article was featured in One Great Story, New York’s reading recommendation newsletter.	other
Sign up here to get it nightly. The boat was a beauty of a thing: some 500 tons across 171 feet of glass and steel as white as Santorini.	other
All rounded edges, the five decks — one with a glass-bottom pool — were made for July on the Mediterranean, sunset dinners among the islands near Sicily, cocktails in the turquoise shallows off the coast of Ibiza. Her would-be captains showed off pictures of the $50 million vessel at parties, bragging that it would be “bigger than all of the richest billionaires’ yachts in Singapore” and describing plans to adorn the staterooms with projector screens, creating a waterborne gallery for their growing collection of digital art in the form of NFTs.	other
No matter that they had originally told friends they were shopping for a $150 million vessel; the superyacht was still the largest by well-established boat builder Sanlorenzo ever to be sold in Asia, a triumph of crypto’s nouveau riche. “It represents the beginning of a fascinating journey,” the yacht broker said in an announcement of the sale last year, saying it looked “forward to witnessing many happy moments aboard.	other
” The name the buyers had in mind was cleverly chosen — an inside joke nodding to the cryptocurrency dogecoin that would both thrill their social-media acolytes and be intelligible to all the pathetic, poor “no coiners” out there: Much Wow. Her buyers, Su Zhu and Kyle Davies, two Andover graduates who ran a Singapore-based crypto hedge fund called Three Arrows Capital, never got the chance to spray Champagne across Much Wow’s bow.	Su Zhu, Kyle Davies, Zhu, Davies
Instead, in July, the same month the boat was set to launch, the duo filed for bankruptcy and disappeared before making their final payment, marooning the unclaimed trophy in her berth in La Spezia on the Italian coast. While she has not been officially listed for resale, the intimate world of international super-yacht dealers has quietly been put on notice that a certain Sanlorenzo 52Steel, the coveted Cayman Islands flag billowing above her empty balconies, is back on the market.	other
The yacht has since become the subject of endless memes and jokes on Twitter, the functional center of the crypto universe. Pretty much everyone in that world, from the millions of small-scale crypto holders to industry employees and investors, has watched in shock and dismay as Three Arrows Capital, once perhaps the most highly regarded investment fund in a burgeoning global financial sector, collapsed in excruciating and embarrassing fashion.	other
The firm’s implosion, a result of both recklessness and likely criminal misconduct, set off a contagion that not only forced a historic sell-off in bitcoin and its ilk but also wiped out a wide swath of the cryptocurrency industry. Crypto companies from New York to Singapore were the direct victims of Three Arrows.	other
Voyager Digital, a publicly traded crypto exchange based in New York that once had a multibillion-dollar valuation, filed for Chapter 11 in July, reporting that Three Arrows owed it more than $650 million. Genesis Global Trading, headquartered on Park Avenue, had lent Three Arrows $2.	other
3 billion. Blockchain.	other
